,sum,len
قُلْ هُوَ اللَّهُ أَحَدٌ اللَّهُ الصَّمَدُ  لَمْ يَلِدْ وَلَمْ يُولَدْ,502735,27
Rachel Notley,502650,129
Minion Humour,502623,171
Black Forest Wood Co.,500249,46
Gopi Sarpanch,500019,64
Retrontario,499963,95
Al Firdaws Canada,499245,67
Trésors du Monde,497858,107
Victoria Buzz,495645,71
Natural & Heavy,493652,97
ALLAH C.C AŞKI,491935,100
Cozy Cabins,491178,88
Canadian Forces Snowbirds,491072,58
Mai khalil's Kitchen مطبخ مي خليل,488065,51
Manualidades aPasos,487636,35
Boylerpf Antique Vintage Jewelry,484271,157
Ciara,484129,21
Egychology - ايجيكولوجي,482785,56
Ayoye - Conneries,482628,117
Decolonize Myself - A First Nations Perspective,482238,80
Gucci Mane,481719,37
Gear Heads: Motorcycles,481588,148
Recette de Maman,473755,122
James Blunt,473670,54
Sasse Photo,472791,79
"La photo ""shop""",472259,150
La Gringa Latina,471131,13
Cine samugam,470744,39
Ricardo Cuisine,469720,76
Zedd,467615,65
Institute of Child Psychology,465184,79
Sex-i Candys & GENTlemen Asylum,463956,152
Melanie Martinez,463705,24
"Mutah ""Napoleon"" Beale",458212,53
Notre langue,458153,103
Philip Fusco,457198,49
Marvel vs. DC,456121,70
Super Manualidades,455118,87
ICI TÉLÉ,452754,63
Pants on the Ground,451254,15
Rock 101,449060,112
WeedGang,448676,52
Medicina para El Alma,448234,107
Rise Against Bullying,447941,46
The EARTH,446528,38
Vancouver Canucks,446424,106
Oilfield Now,444341,99
Québec FIER,439691,54
Jo clé  Construction,437640,23
Chantal Desjardins,437011,3
Loki & Friends,436803,38
"Nighttime: Canadian Crime, Mysteries, and the Weird",436547,1
Foodie's Fusion,436414,49
The Best Dream Cars,436393,145
Depeche Mode,436222,30
Alanis Morissette,435862,49
ODconneries,431845,105
CBC Ottawa,430837,28
Ally Brooke,430548,107
Kenny Chesney,426410,59
Les Vols d'Alexi,426393,68
Nation Scoops,425309,54
Greenpeace Canada,424619,10
Green Day,424484,49
Missy Elliott,423524,38
Hockey Feed,422560,60
𝖔𝖑𝖉 𝖘𝖈𝖍𝖔𝖔𝖑,421932,19
Mecanour  officiel,419597,85
Canadians For Liberty,419549,100
MétéoMédia,418949,78
Lauren Spencer-Smith,418203,44
Taco Relish,416505,1
Fameux Fashions,416246,67
Baseera,414831,29
Modern Cat magazine,413090,22
Le Journaliste Ghars Lotfi /الإعلامي لطفي غرس,410846,23
TVA Sports,409506,98
Cüneyt Arkın,409250,42
The Dollar Vigilante,408970,62
Diply Tech,406236,23
Shashaa Tirupati,405841,38
Thích Pháp Hòa - Lời Phật Ngọc,405171,103
Dallas Cowboys and Their Fans are Morons,404149,95
Shahana Quazi,403919,35
Luimarco Daily,403201,14
Quotes Of MY Life,401350,90
Manter,401150,37
Youth Mental Health Canada,400765,88
Druid,399630,69
Roots Of Healthy Eating,399250,58
Junaid's  ES,398198,38
Peekaboo Parrots,397254,10
CTV Atlantic News,396360,91
Bruno Mars,393106,9
Shared: Animals,391721,119
I Love Horror,388543,47
Marvel Memes,387090,70
I love Poland,387070,102
Circulaires,386757,85
CTV News Ottawa,386229,76
Best of TV,384872,19
Greenpeace Québec,383302,15
Arnaud Soly,381174,45
Rumble,380945,89
Machine Gun Kelly,380826,21
Callen Schaub Art,379879,22
David Bowie,378495,60
Saweetie,378283,30
Unvirtuous Abbey,377600,91
عدراوي لايف - Adraoui Live,377013,62
Le monde de Benjamin,376277,29
Cardi B,375994,7
"Shoes for the Soul, Baker St. Nelson, BC",373208,85
Proud To Be Canadian,372315,61
Katerina Jacob,370675,64
Kaur Mandeep,369532,12
Kingdoms,368913,34
Matthew Santoro Videos,368159,94
Petit Petit Gamin,367857,68
Le Devoir,367717,102
Christina Perri,367586,42
Thai Atheist เพจคนไม่เชื่อพระเจ้า V2,367441,61
زهور ولوازم اعراس عسوله,367246,46
Ava Max,366280,60
Diply Humor,365801,41
Le Revoir,365767,110
MTL Blog,364872,99
Daily Hive Toronto,364121,91
CORE DAWIT,363612,102
Juliana Kanyomozi*,360887,8
Marcel Kouamenan,360513,68
Good Girl,360007,13
CantoMando,358712,12
Globe Trotter Travels,357741,119
Sex-i & GENT,357628,125
Jean-Marc Parent,356818,33
Justin Trudeau is an Idiot,355930,82
OMB Peezy,355514,28
Infoman,353877,54
احتويني - E7tweny,353516,61
Justin Trudno,353514,79
La victoire de l'amour page officielle,353350,102
Niqab Lovers Page,351733,61
Buju Official,351665,50
Ma Fourchette,350669,88
"Ma page, mon environnement.",349226,67
Student Life Problems,347032,58
BenBen CatCat,346660,90
Decoist,346606,77
Tiny Homes,346367,78
Laurita's Corner,346270,29
Johnny Drille,344619,67
Mr Rogers Guillotine Emporium,344082,75
Poche Muzik,342853,32
National Post,342797,101
Ma vie d Artiste à  Montreal,342344,60
Salut Bonjour,341769,76
My Turtle And I,341016,15
CBC Edmonton,340686,55
Science of Positivity,340402,13
Sham Idrees,338291,3
Hypersensibles et empathes,338088,105
AphricanAce,336486,25
Danick Martineau,332105,23
Les News De Stars Congolaise,331444,91
BurnaBoy,330991,35
Rotobec,330644,32
Roman Frayssinet,330430,17
CBC Nova Scotia,329727,65
Stéphane Rousseau Officiel,329624,19
Krystal Clear Makeup,329322,39
Incubus,329047,68
Descubriendo Canada,327802,55
Vera Bambi,327628,82
We can defend marriage,326655,71
Une Pomme Par Jour,326600,89
Truth Teller,325964,51
Shades of PINK,325128,100
En direct de l'univers,324529,36
الصفحه الرسميه - دينا الحناوي,324421,51
HanCinema,324245,49
Rusty RuRu the Canadian Dachshund,324198,90
Lumina,322742,40
Diesel Spec,322669,49
Unsinkable,322359,4
Assigned Male Comics,320045,67
François Bellefeuille,319951,19
Polo G,317136,25
Healings & Intuitive Readings with Tracey Smith,317099,80
Avenged Sevenfold,315530,25
Positive Vibes,315521,68
Vibrasyon Lakay,314761,52
Biffy Clyro,312264,44
Travel Inspiration,311887,38
S a d,311061,71
Harmandeep,310737,15
Sólo Perversos,310328,51
العلم و الدين - لماذا يخسر الملحدون الرهان,310177,18
兩小無猜 Luveyxdovey,310055,18
Winnipeg Jets,309315,63
Haligonia.ca,309288,81
Gelatin Art Market,307443,5
Sia,307317,34
Canadian Screen Awards,307276,2
La Fondation Giguère,307265,47
Global National,305252,29
I Think Am The Meme Guy,303804,28
Shinedown,303624,68
Swathi Naidu,302867,11
The Global Indian,302424,12
Serres Li-Ma,301556,33
Jean-Luc Mongrain,301048,46
TST APP.,300848,58
WARFRAME,300708,68
The Globe and Mail,300115,71
Éric Duhaime,299910,81
Your Everyday Asian,298732,70
Oliver Tree,298279,9
Chantal Lacroix,296077,48
engVid,295794,46
الصيدلانيه جنان,295142,45
Sukh Sanghera,292491,27
Ayoye France,291593,80
Crying Jordan,291008,73
Sophie Grégoire Trudeau,290171,33
Anne-Krystel Goyer,289399,56
Zac Brown Band,288848,38
The Smashing Pumpkins,288824,47
LES ALGERIENS DE MONTREAL,287778,41
Fabien Cloutier,287537,10
This Thing Called Life,287194,17
Julie Nolke,283594,4
Marie Mai - VIP,281360,21
Neeru Bajwa,280979,24
Soup boy Sekaru,280862,59
Jason Derulo,280856,16
Scott McGillivray,280585,50
Phil Collins,279950,25
Canuck and I,278367,44
Dysthymia On A Dime,276873,62
Julie Snyder,276086,39
False Knees,275662,17
Ben Montero Sketchbook,274538,48
Mike Holmes,274313,54
Daniel Goddard,272773,54
Manipuladora,272509,18
Newfoundland & Labrador Tourism,272501,45
Best Damn Roofer,272135,62
Pewdiepie l,271933,65
Dilpreet Kaur,271427,20
Mathieu Cyr,270375,19
The Arrowverse,269535,53
Airliners.net,269432,101
Together Against Hate,268779,46
Mise-o-jeu,268307,3
Paul Greene,267866,60
Jaspreet AK STUDY VISA,267835,27
Tamannaah Bhatia,264857,51
Curiocity Canada,264037,52
Elect Conservatives,263593,83
Oil Sands Strong,262951,77
JR Kaur,262257,65
مكائن خياطة صاحب السعادة,262225,54
VedetteQuebec.com,262190,55
SUGAR SAMMY,261835,24
Tiny Tim the Mini Donkey,261133,42
Krap Videos,260691,18
West Island Blog,260482,6
Herschel Supply Co.,259246,43
"Grace, Love & Beauty",258656,73
Debi Makhsoospuri,258617,49
Jagmeet Singh,258574,44
Lena Scissorhands,257980,88
Boca Juniors Peña Oficial Canada,257569,53
Corey Taylor,257383,34
Kady Traore,256419,58
Animal Freedom Fighter,256023,76
Hugo Roth Raza,255170,18
Smiley,254395,79
Catchin' Deers,253384,18
Apostle Mesi,252765,54
Ismaili Info,252272,40
DanieleHenkel.tv,251994,9
Egyptian Arts Group,251886,11
Live Love Fruit,251347,33
CBC Montreal,250994,26
Love You Lord Krishna,250181,91
We Are Wildness,249812,22
Bell Let's Talk,249676,22
"Actualités, trucs et astuces",249211,52
A-ha,248823,55
Pacto Contra o #PT,248200,52
Air Canada,247276,53
W Network,246704,32
Disney Magic Kingdoms,246267,40
"Rodrigo Duterte Support Page by Dr Eli Alegado FRCPC, FACP",246186,68
Kinpatsu Cosplay,245763,63
Natalie MacMaster,245585,9
Sert Sözler,245540,68
Canadian Silent Majority,245373,13
محبان الله,245215,34
Ottawa Citizen,244802,48
Complete Hockey News,244366,74
Punjab De Fan ਪੰਜਾਬ ਦੇ ਫੈਨ,244214,60
ETVnet,243548,18
Shobhit Banwait,243212,12
Jahan Geet,242624,17
Breakfast Television Toronto,241759,36
James Maslow,241200,43
Ricky Berwick,241119,56
Baroness von Sketch Show,240626,20
PLS&TY,240515,22
Dead by Daylight,240421,59
La Famille Groulx,240213,52
PressProgress,240179,63
Backyard Diva,239867,5
We are africans,238549,79
Radio-Québec,238211,29
100.3 The Q!  The Island's Rock,236431,2
Radio-Canada,236200,28
CTV News Winnipeg,236177,66
Eski Özlü Sözler,236113,65
O.T. Genasis,235223,2
Unist'ot'en Camp,235021,51
Scott Moe,234865,50
Dr. Asaad Ali Hassan,234862,67
Jay and Dan,234851,20
Nova Scotia Government,234704,61
CBC Music,234672,16
SABIAN,233568,35
Tim and Sid,232806,18
Bret Hart,232774,18
YellaBeezy214,232317,29
Muslim Kids TV,232114,10
Nasha Canada - Наша Канада,232026,75
Le Soleil,231363,45
SkyWeaver,230830,49
Rodeo Love,230814,19
Enya,230732,17
Bun B,230707,48
I am a Jamaican,230573,27
Cedar Meadows Resort & Spa,230384,1
Oi. bb,230272,18
Vikki Lenola,230160,36
Ideas y detalles,230098,26
Help Dogs Center,230056,30
Unusual Facts,229586,70
Mélodie Perrault,229418,56
NHL Trade Rumors,229334,61
Dream wild and free,229048,21
Boucar Diouf humoriste,227877,20
Chocolats Favoris,227790,35
Randolph - Jeux et divertissements,227275,38
"Four Seasons Resort Punta Mita, Mexico",226791,37
Open Strum,226420,27
Nasreen Syed's Poetry page,225661,22
ICI Québec,224577,43
ملامح,224463,57
enVedette.ca,223656,53
Redneck's québec,223565,17
Ritchie Bros.,223244,11
Nutrience,222990,54
Craft World,222286,48
Vinay Vashisht,221707,22
FemalePains,220584,4
7 Jours,220513,55
Christian Marc Gendron,219930,16
Visit Hilton Head,217949,49
Hala Canada  - هلا كندا,217605,53
Mumble Rappers Anonymous,216537,39
Jagjit Singh Favourite Ghazals,216225,29
By Elizabeth Lozano,216208,30
TVA,216163,41
Letterkenny Problems,215965,17
Healing Hearts,215325,27
Thevar Vamsam Films India,215244,26
Royal Canadian Mounted Police in Nova Scotia,214900,36
Hood Memes,213606,47
Hockey Memes,213166,49
Bineta Diedhiou Olympic,211899,46
Mylène Farmer,211770,32
Patrick Norman,211020,16
Pregnant Chicken,210828,55
Lil Jon,210784,21
Manualidades Perla,210373,21
Mondou,209929,8
Carey Price #31,209362,44
League Alerts,209277,10
Jackson Wang,208988,15
Bagong Lipunan,208581,28
Maracaibo,208543,21
Laura Klassen,208495,55
CBC Toronto,208402,34
The Crochet Crowd,207945,57
Bunmi Laditan,207489,19
Saviez-vous que ?,207062,51
